time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
447425799.4222,1078.322349166427,1060.545000000000,1025.945271331663,992.9673470356204,-13.77805106074701,.000000000000000,-.1424573092970422,-97.16199862965537
493524052.9083,1078.322349166427,1060.545000000000,1025.942976441367,992.9541492776361,-13.77805106074701,.000000000000000,-.1277542585836636,-95.20302217417552
544232131.7430,1078.322349166427,1060.545000000000,1025.940620657932,992.9410826989513,-13.77805106074701,.000000000000000,-.1133349193648974,-93.27928599735432
600011018.4612,1078.322349166427,1060.545000000000,1025.938206381567,992.9282225901677,-13.77805106074701,.000000000000000,-.9928306162244553E-01,-91.40131389777666
661367793.8512,1078.322349166427,1060.545000000000,1025.935736272516,992.9156514830798,-13.77805106074701,.000000000000000,-.8568674956528412E-01,-89.58032848377113
728860246.7802,1078.322349166427,1060.545000000000,1025.933212971510,992.9034577940990,-13.77805106074701,.000000000000000,-.7263719334920098E-01,-87.82802701210662
803101945.0021,1078.322349166427,1060.545000000000,1025.930638429891,992.8917336259799,-13.77805106074701,.000000000000000,-.6022660473396173E-01,-86.15625754348719
884767813.0462,1078.322349166427,1060.545000000000,1025.928012738142,992.8805721074217,-13.77805106074701,.000000000000000,-.4854598251453354E-01,-84.57665526921768
974600267.8948,1078.322349166427,1060.545000000000,1025.925331850363,992.8700638937603,-13.77805106074701,.000000000000000,-.3768233995766423E-01,-83.10018869294721
1073415968.228,1078.322349166427,1060.545000000000,1025.922581438680,992.8602898787876,-13.77805106074701,.000000000000000,-.2771119066846950E-01,-81.73620930664698
1182113238.595,1078.322349166427,1060.545000000000,1025.919726868191,992.8513211201125,-13.77805106074701,.000000000000000,-.1870109943109128E-01,-80.49253926651460
1301680235.998,1078.322349166427,1060.545000000000,1025.916681507195,992.8432158401570,-13.77805106074701,.000000000000000,-.1071905020295162E-01,-79.37515586039150
1433203933.142,1078.322349166427,1060.545000000000,1025.913158637905,992.8360113299673,-13.77805106074701,.000000000000000,-.3854759409659892E-02,-78.38726653925248
1577880000.000,1078.322349166427,1060.545000000000,1025.909000000000,992.8297198796321,-13.77805106074701,.000000000000000,.000000000000000,-77.52864812328808
1579235673.544,1078.322349166427,1060.545000000000,1025.909000000000,992.8296610660386,-13.77805106074701,.000000000000000,.000000000000000,-77.52063932350589
1580726914.442,1078.322349166427,1060.545000000000,1025.909000000000,992.8295964952276,-13.77805106074701,.000000000000000,.000000000000000,-77.51184698792359
1582367279.430,1078.322349166427,1060.545000000000,1025.909000000000,992.8295256580028,-13.77805106074701,.000000000000000,.000000000000000,-77.50220184974749
1584171680.917,1078.322349166427,1060.545000000000,1025.909000000000,992.8294479847499,-13.77805106074701,.000000000000000,.000000000000000,-77.49162647084482
1586156522.553,1078.322349166427,1060.545000000000,1025.909000000000,992.8293628500554,-13.77805106074701,.000000000000000,.000000000000000,-77.48003585817716
1588339848.352,1078.322349166427,1060.545000000000,1025.909000000000,992.8292695731925,-13.77805106074701,.000000000000000,.000000000000000,-77.46733752805888
1590741506.731,1078.322349166427,1060.545000000000,1025.909000000000,992.8291674165918,-13.77805106074701,.000000000000000,.000000000000000,-77.45343130225167
1593383330.948,1078.322349166427,1060.545000000000,1025.909000000000,992.8290555834425,-13.77805106074701,.000000000000000,.000000000000000,-77.43820898901835
